Gevonden: 1272 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259894831014 52.12742991397416)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259655966269 52.1274302530341)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10275 | 39308 | Point (4.895370358802935 52.08886688832469)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10275 | 39308 | Point (4.895370299419334 52.08886752901592)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | 26236 | Point (4.910608137267755 51.94594426179195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | 26236 | Point (4.910608357572277 51.945944909034516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482174117768 51.98836386539577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10443 | 37858 | Point (4.805482326686305 51.98836442900257)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522619979776 51.88206823954896)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522954223565 51.882068898426006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10544 | 25986 | Point (4.920658579801928 52.057915538354564)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10544 | 25986 | Point (4.920658584841562 52.05791619637391)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10722 | 32243 | Point (4.569184054678477 51.80847975035778)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10722 | 32243 | Point (4.569183324571433 51.80847942848703)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10771 | 34940 | Point (4.75080502211812 51.90491120273821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10812 | 17035 | Point (4.887463037837951 51.90323485528365)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10836 | 23809 | Point (4.60767517047653 52.13983416414288)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10836 | 23809 | Point (4.607674903990473 52.13983453742655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542454296086 51.846187125912095)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542885647283 51.84618774584821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432526844892408 52.121819079143776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432527108714292 52.12181892242426)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10898 | 32510 | Point (4.596284723144115 51.868008714987084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10898 | 32510 | Point (4.596285259548558 51.86800906749566)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882076865088548 51.85231859617703)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882077280349025 51.852319221171584)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830734145009012 52.16486192799072)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10998 | 30529 | Point (4.830733903386595 52.16486252147577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11062 | 26251 | Point (4.941634509051309 51.97499928759607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11062 | 26251 | Point (4.941634668179117 51.97499995776627)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439035440760338 51.777593766215084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439036372933047 51.777593926335655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11140 | 32244 | Point (4.555392589545119 51.80383445173398)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11212 | 16117 | Point (4.866726621322576 51.84426079738121)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11212 | 16117 | Point (4.866727061865107 51.844261410382536)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11277 | 19957 | Point (4.758357587299598 52.00073271345966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11384 | 8988 | Point (4.923507555271842 51.99964771231532)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11384 | 8988 | Point (4.923507439498442 51.99964705436357)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11482 | 8973 | Point (4.991447717485977 52.01024951930924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11482 | 8973 | Point (4.991447809504144 52.010250223783366)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11483 | 8999 | Point (4.749025849183287 51.93606464880962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11637 | 34092 | Point (4.88900010861137 52.03853313094497)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11637 | 34092 | Point (4.889000149517519 52.03853376455032)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11689 | 9758 | Point (4.755434882880936 52.08204294314316)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11689 | 9758 | Point (4.755434812512175 52.08204346509814)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | 517470 | Point (4.844900304312084 52.020190987828975)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11757 | 517470 | Point (4.844900383235528 52.020191585763335)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11816 | 9002 | Point (4.810988845338642 51.945012995579816)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11816 | 9002 | Point (4.810989094741902 51.945013563000956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11877 | 34088 | Point (4.894463369550017 52.04403893788543)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11877 | 34088 | Point (4.894463399669262 52.04403957587332)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11939 | 34093 | Point (4.885703185932672 52.03620017119759)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11939 | 34093 | Point (4.885703231440592 52.03620080218109)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.42813124712367 51.809964141583976)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.428132076757907 51.80996428648185)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12097 | 16120 | Point (4.896296270372998 51.85674729146664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12097 | 16120 | Point (4.896296668831379 51.856747927327966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12132 | 41054 | Point (4.525226466366262 52.11864103189915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12132 | 41054 | Point (4.525226239494598 52.118641307323905)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12150 | 8957 | Point (4.964818004297094 52.00604038063977)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12150 | 8957 | Point (4.964818105131906 52.006041067564965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12240 | 20820 | Point (4.972436534088617 52.089298763219965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12240 | 20820 | Point (4.972436578494873 52.08929806781453)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12311 | 39001 | Point (4.899231552075083 52.023817261605394)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12311 | 39001 | Point (4.899231622427954 52.02381790243692)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12347 | 14207 | Point (4.955150602402846 51.74858699212765)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12363 | 9638 | Point (4.759993980630164 51.86808969277576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12404 | 25988 | Point (4.907618929485428 52.06647452644762)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12404 | 25988 | Point (4.907618942499951 52.06647387762838)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12541 | 22626 | Point (4.94594255591694 51.880260952091504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12541 | 22626 | Point (4.945942227228519 51.88026028022258)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12617 | 29958 | Point (4.843242258375769 51.881888631430776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12648 | 327101 | Point (4.588008998374959 52.13105577190073)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12648 | 327101 | Point (4.588008751559143 52.13105612239168)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12684 | 17041 | Point (4.917663547485622 51.91245566361978)
